iso_code,location,max_vax_pct,max_fully_pct,n_vax_days,wgm_year,wgm_agree_safe,wgm_hesitant_safe,wgm_disagree_safe,wgm_disagree_effective,wgm_2019_agree,wgm_2019_hesitant,wgm_2023_agree,wgm_2023_hesitant,dtp3_2019,gdp_2019,log_gdp,hesitancy_change
SRB,Serbia,48.81,47.71,532,2019.0,74.455444,25.544556,20.09901,13.465346,74.455444,25.544556,,,97.0,,,
SSD,South Sudan,39.54,39.16,910,2023.0,79.0,21.0,14.0,19.0,,,79.0,21.0,61.0,,,
STP,Sao Tome and Principe,61.68,49.25,868,,,,,,,,,,95.0,,,
SUR,Suriname,43.33,38.49,456,,,,,,,,,,77.0,,,
SVK,Slovakia,46.0,45.68,575,2023.0,54.000004,45.999996,37.0,32.0,,,54.000004,45.999996,97.0,19406.0589683582,9.873340614246928,
SVN,Slovenia,59.71,57.66,557,2023.0,50.0,50.0,43.0,38.0,,,50.0,50.0,95.0,25814.1687167572,10.158678795236376,
SWE,Sweden,73.71,71.98,1150,2023.0,73.0,27.0,20.0,16.0,,,73.0,27.0,98.0,51648.9892820514,10.85222590576099,
SWZ,Eswatini,43.78,35.56,797,,,,,,,,,,90.0,3913.14577547336,8.272096875662509,
SXM,Sint Maarten (Dutch part),67.41,60.58,694,,,,,,,,,,,34861.469528968,10.459137473348102,
SYC,Seychelles,82.62,78.0,821,,,,,,,,,,99.0,19141.5118743615,9.859614652188395,
SYR,Syria,14.9,10.66,779,2022.0,73.0,27.0,26.0,24.0,95.62682,4.373180000000005,,,67.0,1109.53926036049,7.011700127380202,
TCD,Chad,29.04,28.33,935,2024.0,80.0,20.0,14.0,11.0,,,83.0,17.0,53.0,893.336441643325,6.794963264282223,
TGO,Togo,25.49,17.56,986,,,,,,,,,,86.0,826.255209019798,6.716903695557277,
THA,Thailand,79.51,74.6,581,2024.0,86.0,14.0,13.0,9.0,98.333336,1.6666639999999973,82.0,18.0,97.0,7605.69657797759,8.936652795236206,16.333336000000003
TJK,Tajikistan,53.54,52.17,961,,,,,,,,,,97.0,871.022372934846,6.769667663014971,
TKL,Tokelau,116.38,116.38,533,,,,,,,,,,,,,
TKM,Turkmenistan,46.18,45.41,503,,,,,,,,,,99.0,5998.0017434754,8.699181649985038,
TLS,Timor,66.12,59.77,953,,,,,,,,,,83.0,1562.36458068032,7.353955709490042,
TON,Tonga,81.73,72.39,722,2022.0,91.0,9.0,9.0,8.0,,,,,99.0,4788.83342304684,8.47404211649415,
TTO,Trinidad and Tobago,49.22,46.82,584,,,,,,,,,,93.0,17212.6128892163,9.753397701575537,
TUN,Tunisia,58.42,51.81,831,2024.0,60.0,40.0,39.0,32.0,,,43.964287,56.035713,98.0,3528.87213306798,8.168733589827553,
TUR,Turkey,67.89,62.31,679,2023.0,59.0,41.0,38.0,29.0,,,59.0,41.0,99.0,9395.23378001368,9.147957794988077,
TWN,Taiwan,91.65,87.02,918,2023.0,68.0,32.0,21.0,15.0,,,68.0,32.0,,,,
